rank,node,importance,in_degree,out_degree,pagerank,clustering,community
41,4735,0.25422380765972424,195,0,0.0016209567580411316,0.05733544805709754,4
42,6832,0.2518804161978797,170,0,0.0017646895191923727,0.08774799860772711,1
43,3459,0.2512130308828808,191,92,0.001254456521317543,0.0770947199518628,1
44,28,0.24927512050447126,122,133,0.0016986730322136935,0.055098887515451174,0
45,214,0.24175587958012798,175,0,0.0016599199669365457,0.034055829228243024,0
46,8293,0.24129542805951779,164,0,0.0017044691035007064,0.06748466257668712,4
47,4828,0.24124082222548826,141,168,0.001295652931927357,0.06122963741460851,3
48,5022,0.24104017750154264,162,172,0.0011058798871145426,0.05575740134537214,3
49,6946,0.2321554339173394,117,68,0.0017404328450373549,0.0666588290618387,1
50,2657,0.23091085692477645,165,44,0.0013631759714335006,0.09572362364205488,4
51,271,0.23013200419582114,192,0,0.0013349240914416604,0.05554646596858639,0
52,1374,0.22947563278016572,89,462,0.0005408913563724193,0.04089580019405044,1
53,4099,0.22912063447119976,164,155,0.0009539603159666117,0.08757324074256742,3
54,5484,0.22718635974200843,153,22,0.0015430456206335552,0.06085299336268647,3
55,4536,0.22086910763416176,173,81,0.001063455378816112,0.0691426436710043,3
56,766,0.21967069630976893,0,773,5.0487823458630175e-05,0.03265321169791339,3
57,5543,0.2190925367879988,145,137,0.0010508052619841283,0.0881142366547144,3
58,3537,0.21863967929152442,193,0,0.001143441013542154,0.08095854922279792,3
59,3976,0.21774097184227073,148,145,0.0010110104201263292,0.0630378858746492,3
60,5800,0.21738565903880383,139,222,0.0007738680758408575,0.08492846913161987,1
61,1151,0.2161205666216617,71,472,0.0004748593289712713,0.048169268727018155,0
62,3568,0.215804265023613,134,147,0.0010498975127616172,0.10014246101401715,4
63,1026,0.21488082417369364,189,0,0.001175321411285121,0.045170550489699424,0
64,3117,0.21407062529454307,186,0,0.0011452508166489293,0.07983144434757337,4
65,3084,0.21335482819094997,153,62,0.0011782972236993026,0.09037926235212247,4
66,3897,0.21247541478831217,186,9,0.0010969509274752274,0.07573754890557259,3
67,5233,0.21193736759835943,149,24,0.0013579769235324722,0.07100114301082498,3
68,11,0.2106188798664455,0,743,5.0487823458630175e-05,0.02612160941473519,0
69,6774,0.2101278603805806,113,24,0.0016159010099299927,0.0913585554600172,1
70,1633,0.20935321739682472,195,0,0.0010204970358821553,0.06928363732487444,0
71,6914,0.20845316708019043,124,95,0.0012617583332444008,0.0753206471623774,1
72,72,0.20794333518316363,154,164,0.0007778819412063818,0.051331666269746765,0
73,2256,0.20787179337784079,107,247,0.0008688422725943215,0.057005395539473896,4
74,457,0.20759964928302896,0,732,5.0487823458630175e-05,0.026724376368923476,3
75,5210,0.20342828269110091,158,0,0.0012812378374335918,0.0528904297347416,1
76,2653,0.20274084992693547,162,113,0.0007307046493685503,0.1257605143601052,4
77,407,0.20210573749726718,135,145,0.0009321590642571336,0.05251702770522866,0
78,5179,0.20083443417448782,101,217,0.0009121234462045714,0.07680169898576901,1
79,5459,0.1989689193478293,175,0,0.001048042911380927,0.07559934318555009,3
80,3562,0.19866265509977468,136,40,0.00118183008970489,0.11393474587287145,4
81,2790,0.1980505707115092,127,173,0.0008120499905815793,0.07823827262385404,4
82,4666,0.19697586813728157,145,24,0.0012102604198827058,0.06096787827557058,3
83,2323,0.19684598254353528,130,111,0.0009896478018814423,0.08382342766207708,4
84,5404,0.1967447396488144,117,40,0.001357657455276512,0.08459276202924598,3
85,2958,0.19588848501675143,129,47,0.001158896046276573,0.13014232793916944,4
86,825,0.19532012039505964,105,165,0.000961320038864033,0.10323496183626794,4
87,1842,0.19327649638588143,147,0,0.0012397030472697543,0.055446836268754074,0
88,3026,0.19257515651379506,113,175,0.0008055145576674707,0.11480252802867036,4
89,665,0.19213644246053305,97,7,0.0016523142774243057,0.03613445378151261,0
90,3192,0.19206678712990252,146,56,0.0009769172831431254,0.09474047419529748,4
91,299,0.19071440972781523,158,0,0.001111572236198922,0.05591389180037088,0
92,6327,0.18997905818240385,122,108,0.0009664338854599459,0.0938782489740082,1
93,5697,0.1897265122893304,104,230,0.000684473308727245,0.0842807800244657,3
94,5423,0.1892313787383662,97,48,0.0014139627646056576,0.07515807625981989,3
95,2411,0.1886823802943521,140,141,0.0006756053327394741,0.09347897962816959,4
96,5002,0.18835660998185882,135,115,0.0008033973873987777,0.09779428314202115,1
97,2516,0.1877243392748652,167,44,0.0008047378251214227,0.07914578536277032,3
98,2660,0.18682813058012526,128,164,0.000674779113110591,0.08995525200188413,4
99,5123,0.18633241660929087,108,69,0.0011612834308386253,0.10901555070042411,3
100,3443,0.18545877462935476,141,20,0.0010631946352370556,0.09607766990291262,4
101,2658,0.18528296094452681,77,307,0.0006227080271547518,0.04890705551097025,1
102,3238,0.18303854637287278,145,28,0.0009886363378648795,0.08041958041958042,1
103,6560,0.1800871118720379,140,43,0.0009270301686011993,0.08899705546541674,1
104,3796,0.1800342840306901,132,113,0.000718359859475627,0.10510193833483981,3
105,2859,0.17987951688636175,94,139,0.0009617028036139836,0.09353370100307214,4
106,2145,0.17964715347799876,135,145,0.0005906695223674783,0.08991138203052966,4
107,3034,0.1772552419697912,130,38,0.0009797286227845605,0.09989300998573467,4
108,2688,0.1770584122421621,0,618,5.0487823458630175e-05,0.040460942130467394,4
109,789,0.17689783534953804,81,317,0.00044818183209151155,0.04469316181963207,3
110,56,0.17680977040753945,149,24,0.000916041669228302,0.05876420359039871,0
111,3453,0.17668159935325534,67,319,0.0005226553484799139,0.0717016436253988,3
112,1385,0.17664440851502963,128,35,0.0010579341179430093,0.05531560203076457,4
113,1608,0.17518348211082235,73,355,0.00033878386782028585,0.057609790271027625,0
114,2775,0.1730113566832998,151,35,0.0007837419521595396,0.07835213396906617,3
115,2297,0.17294977319388008,107,164,0.0006471357495068874,0.11023438995706042,4
116,2594,0.17192142830847487,127,45,0.0008829911436402511,0.12086565945283789,4
117,86,0.17171410527298084,108,122,0.0008513640893173855,0.05221669262622042,0
118,4261,0.1710791974624861,92,24,0.0012876727534924758,0.09053405340534053,3
119,3005,0.1710658172242577,133,28,0.0008570591731587602,0.14040882947302968,4
120,1717,0.17022944117626135,117,96,0.0008301830701370565,0.06732686428286588,0
121,1919,0.17017035198896047,128,112,0.0006612504287867396,0.07933296120569355,0
122,6006,0.16947119621322662,109,68,0.0009665296566127801,0.08604740797841588,3
123,3615,0.16940607473622724,106,144,0.0006701853288169279,0.11967007524599653,4
124,600,0.1685262860163236,77,214,0.000733133910645874,0.056983332938191994,0
125,6784,0.16812139210504995,115,42,0.0009810281906290999,0.09482758620689655,1
126,3454,0.16775384330837892,94,148,0.0007303232828996701,0.12458819492107069,4
127,5020,0.16638948797002256,109,139,0.0006880770817123062,0.07008231528059058,3
128,2746,0.16487808509869978,101,25,0.001056249596500724,0.1441830896376351,4
129,4600,0.16482250207414603,113,15,0.001071032708025259,0.08150701797586801,3
130,922,0.16466496130931935,51,149,0.0011102332549468266,0.0817203760494696,0
131,4653,0.1646299907122122,110,114,0.0007237919653723675,0.08851224105461393,3
132,6299,0.16451314140553933,104,78,0.000869234007376253,0.11593630340971252,1
133,3498,0.1643597618385986,83,114,0.0009437634117415145,0.09429756350440643,3
134,1982,0.1638620636361198,136,29,0.0008075779697471245,0.08383853319532751,1
135,290,0.16381262389165585,136,71,0.0006582816231966973,0.08029847944434015,0
136,5814,0.16362304620718107,104,144,0.000641143354787422,0.09724899532786617,1
137,5189,0.1632105858654377,63,312,0.0004175343171638561,0.06349217669124674,3
138,3755,0.16274012655904468,121,0,0.001064328972994103,0.055303030303030305,0
139,282,0.16225672059724602,101,39,0.0010828961137115444,0.058333333333333334,0
140,4400,0.1621165548724367,115,5,0.001038758194748274,0.09407397029980387,3
141,2210,0.16120516802056167,133,17,0.0008462057494015232,0.08092382060692865,4
142,3447,0.16049056034721246,81,271,0.00036522441257644917,0.0730421686746988,3
143,3586,0.16016645125814558,88,156,0.0007128364204687786,0.07912054535637149,1
144,2585,0.15988353901483693,116,60,0.0007455334991006784,0.1361567964636287,4
145,1305,0.15946638197084026,73,290,0.0003741209351644782,0.05530017048222114,4
146,1754,0.15941940361514223,122,23,0.0008589038949423089,0.1087373059973175,4
147,4247,0.15888834629973353,126,0,0.0009659593834602981,0.05942857142857143,4
148,3276,0.15865854883501596,134,79,0.0005544526228157742,0.09914480680609714,4
149,1956,0.15847691408913142,144,0,0.0008071271433024499,0.059003496503496504,0
150,1855,0.1583502601120981,105,12,0.001106975703933988,0.05012531328320802,0
151,6555,0.15659170354587013,111,35,0.0008776446354529007,0.10469843070523728,1
152,4687,0.15644401958934087,101,23,0.001069221410988325,0.05548996458087367,3
153,2693,0.15607145777746165,101,149,0.0005376798710692033,0.10680298353909465,4
154,2504,0.15562646597985638,99,100,0.0007828882145835109,0.06454397724964453,4
155,3394,0.15513169749849282,82,156,0.0006469115897930876,0.11873580352072687,4
156,3439,0.1549767699261449,100,88,0.0007451807039611521,0.11400512382578992,4
157,4110,0.15495924642828243,102,4,0.0011074368341412327,0.057951482479784364,4
158,4256,0.1543440300073078,100,0,0.001013118348989186,0.1484848484848485,4
159,2972,0.15409923296162145,46,357,0.00030703468520405585,0.042768072103216245,3
160,4124,0.15408313966644643,123,50,0.0006527660609782774,0.1313647676061075,3
161,5802,0.15337397658507584,41,385,0.00022043597073061064,0.05638665768045167,1
162,2643,0.1533001395424873,100,0,0.0011230140418049847,0.053737373737373736,0
163,7809,0.15319750523060252,124,0,0.0008930316411830106,0.07159716758457907,1
164,5288,0.1529108518002978,126,0,0.0008705804392766962,0.07282539682539682,1
165,3024,0.15290201248549523,104,52,0.0007810786876400262,0.14024339763225432,4
166,2285,0.15249800848028283,79,17,0.0012443777169158046,0.04287280701754386,2
167,2144,0.1503165848875376,111,23,0.0008268976434248615,0.1144733887267011,4
168,4981,0.15021928581428226,87,53,0.0009393509940000795,0.10079234410372505,1
169,3291,0.1492332204976944,137,58,0.0004977200937088908,0.08751190098381466,4
170,8042,0.14871771330620462,55,1,0.001408019073042443,0.08187134502923976,1
171,35,0.14866462932830343,110,65,0.0007007673625519547,0.08370044052863436,0
172,1492,0.14832689368952104,93,157,0.00048755357917043806,0.097932675304633,0
173,3028,0.14794674942039981,85,189,0.00045764145813437067,0.08000963004574271,4
174,2240,0.14791366749044432,105,108,0.0005732007611261847,0.08649798378162804,4
175,3634,0.14786802173716232,105,82,0.0006771396693692117,0.07909117054932413,3
176,2508,0.14760461170553707,117,13,0.0008232639154905049,0.07874955255936046,4
177,3408,0.14727175341834603,112,0,0.0009076825837745699,0.07987451737451738,4
178,8294,0.14645135611824342,105,0,0.0009103607925256625,0.11556776556776557,4
179,1357,0.1464454617409949,117,91,0.0004996113837134112,0.09708918441365201,0
180,1428,0.14524229757143794,88,183,0.00041782499250809266,0.08061472832180262,0
181,6665,0.14517161369034026,114,29,0.0007232860712060703,0.10602029756626269,1
182,1496,0.14455961600459674,74,210,0.00042139539961360883,0.08736462093862817,0
183,1585,0.14398866352738404,101,102,0.000555853794118739,0.10361151781356759,0
184,3643,0.14370256123939462,115,44,0.000632146748683581,0.11269120458891013,3
185,2120,0.14321740642880282,97,122,0.00053889012175858,0.07918011485098714,4
186,3650,0.14299090588268742,108,0,0.0008202387518971379,0.13040844582900657,4
187,7021,0.14274360195563926,93,15,0.0009434511090520828,0.08988569449255282,1
188,2474,0.14235964359849013,81,142,0.0005580254674335256,0.10496422363261511,4
189,5714,0.1423474920332617,107,44,0.0007027293054642879,0.0975081735442255,3
190,1319,0.1422527531585445,72,181,0.0005086508582796598,0.09167242136982862,0
191,5563,0.14218818186193394,106,2,0.0008512629017280493,0.10611043794356932,1
192,6907,0.14105448642780585,64,191,0.0005377503309214858,0.08188643104300544,1
193,974,0.1404646989565844,93,36,0.0007711693155141759,0.14047532436037347,4
194,311,0.14007164169190142,47,321,0.0002208477193511701,0.06283145201907979,0
195,1453,0.13999409579993377,116,0,0.0007697508705739885,0.08665667166416792,4
196,8295,0.13986983289198307,118,0,0.0007536026809319522,0.0846733304360423,3
197,1031,0.13955888738114855,68,19,0.0010703596945955875,0.1135937918116136,0
198,55,0.13947128519815444,67,64,0.0009495051440874037,0.08601834430856067,0
199,2593,0.1390138954289558,118,32,0.0005935693937947998,0.10930086831975651,0
200,2774,0.13886789676418929,107,46,0.000661980295476124,0.08837449444970312,3
201,5178,0.13870940610539223,117,19,0.0006671234463345162,0.09278631361011223,3
202,7699,0.1387014173045465,79,0,0.0010608267960310676,0.09331385913664395,1
203,204,0.13844512568846243,131,12,0.0005633238613354887,0.09746847911741528,4
204,2619,0.1383755846553393,110,46,0.0005953157895509863,0.11490066225165563,4
205,5188,0.1374985175064966,69,211,0.0003587909148452628,0.09480506173472002,3
206,3631,0.13678589605108335,101,91,0.0005131168971589022,0.09516533886281786,4
207,4041,0.13667116512735664,82,68,0.0007510025694653556,0.1006356880651804,3
208,417,0.1357208157904187,107,9,0.0007316747975975323,0.10701964901754912,4
209,4632,0.13511290346230928,58,228,0.00040191701955069646,0.06248159057437408,1
210,3260,0.13473849228493442,99,8,0.0007418131845891698,0.14473452107955548,4
211,2354,0.13373117791845926,118,1,0.0006822810646468761,0.07520296254094859,3
212,4983,0.13366672665124904,89,4,0.0009372579470656606,0.06092142188961647,1
213,3962,0.13366466798816332,99,4,0.0008319402691903038,0.07605177993527508,1
214,6414,0.13324087136179652,94,21,0.0007633979768521913,0.10962770826975893,1
215,2900,0.13321215215073068,116,29,0.0005199672566986814,0.12927647340680404,4
216,5839,0.1331920634988994,85,41,0.0007735075262321923,0.10447381799694967,1
217,3516,0.13308359820985463,110,0,0.000706228507500175,0.10567139282735613,4
218,2371,0.13238008916482025,84,124,0.0004668727596023672,0.105796495142472,4
219,978,0.1323750035143171,95,65,0.0006086390750651234,0.08995042102777996,0
220,4483,0.13212031254068574,77,153,0.0004339150522064346,0.09324771060531216,1
221,941,0.13187687931644076,66,80,0.0007817176421452652,0.10056737588652483,0
222,1473,0.13186806185144678,95,91,0.0005497030965572309,0.057306506948886435,0
223,1167,0.1315242553029566,73,158,0.00045793094724974034,0.08112333308219694,0
224,1193,0.13129771713097724,99,31,0.0006911485066391526,0.08480544282645022,0
225,7414,0.1312092878107415,95,0,0.0007969609085520465,0.11578947368421053,1
226,3010,0.1309180540723143,46,123,0.0007342242479797896,0.1383248730964467,4
227,2117,0.13067185409096455,105,23,0.0006411331360241579,0.09992616293379276,0
228,4040,0.1304939868813776,74,104,0.000622089687693132,0.08949441056910569,3
229,4011,0.13038730347610294,103,0,0.0007215737986462949,0.11288787359604036,4
230,3321,0.13034010692379455,88,18,0.0007937681210111562,0.10510699514475813,3
231,7052,0.13023446520118295,82,142,0.0004050431025965104,0.09451121794871795,1
232,2135,0.1301845754223858,79,146,0.0004142837404612635,0.09541863511850411,4
233,4661,0.1298174934277861,76,19,0.0008864540298583887,0.10475016804839794,3
234,6123,0.12963487286782066,89,24,0.000737492618181087,0.11786561264822135,1
235,5605,0.12905379710269316,90,11,0.0008132970272526939,0.08372968688069758,1
236,7890,0.12900327423605118,74,0,0.001012204286946771,0.06645686782673084,1
237,3645,0.12898772869745317,90,40,0.0006494493455030733,0.12758085690416518,4
238,2686,0.1287691280792926,63,156,0.000490235622860983,0.10003353313492895,4
239,2326,0.12865622258944054,49,252,0.00028336732305359584,0.0807541484812903,4
240,5200,0.12838574956966883,88,15,0.0007838125344891972,0.10159969529613407,3
241,4448,0.1280549836663113,99,36,0.0005767620399660523,0.12613410046470458,3
242,6979,0.1279952559545619,105,0,0.0006992704702515241,0.09294871794871795,1
243,722,0.12794738478189244,56,264,0.0002035423809446456,0.055358507573827674,0
244,6004,0.1279285738562212,88,6,0.0008510894736785142,0.07061112382696269,1
245,2940,0.12749963498282896,63,123,0.0006289670010018136,0.07329340621002442,1
246,5806,0.1272420918743093,82,83,0.0005804618009688893,0.09518526736188151,1
247,6913,0.12697920694207265,90,44,0.0006079536137541281,0.12813167059880912,1
248,2160,0.1267749031973123,93,26,0.0007094267520467316,0.07893986890852095,3
249,3898,0.1260211089925034,69,2,0.000956964104515678,0.1062374245472837,3
250,2542,0.12584849408173052,90,93,0.0004460763984553472,0.10383367383727918,4
251,8163,0.1257681338283028,43,0,0.0011948936565061821,0.09745293466223699,1
252,6523,0.12554905576497824,89,33,0.0006206085859488249,0.14148128052088985,1
253,7961,0.12547351072402457,84,0,0.0008481573281050892,0.09136546184738956,1
254,5773,0.12540052226164725,78,75,0.0006226883939193942,0.09302925989672978,1
255,5226,0.12524047344742584,75,17,0.000812122668982434,0.12816834050693449,3
256,3265,0.12469343266784559,92,0,0.0007329317385540162,0.11944577161968466,4
257,3140,0.12456384081152366,89,2,0.0007662084951221139,0.10671550671550671,4
258,6618,0.12418317644784307,69,91,0.0006138658264467909,0.10191233178562997,1
259,7478,0.12415113508748188,92,0,0.000812430352613478,0.05303392259913999,1
260,1726,0.1239355849840246,60,0,0.000998653947111157,0.11807909604519774,0
261,6833,0.12371830202940994,95,1,0.000766398429606617,0.06152665058126782,1
262,2381,0.12361759803210602,100,71,0.0004064869894573438,0.10784111248795264,3
263,4795,0.12346068352506627,89,73,0.0005085704830244999,0.09456763600092075,3
264,5321,0.12319434580715892,88,32,0.0006644870209843759,0.09363610877488085,3
265,2667,0.12309672374196752,73,126,0.0004790497516292551,0.07023199147164831,3
266,2747,0.12304745347954826,77,79,0.0004919340279504552,0.16517561298873426,4
267,4179,0.12265064186835901,100,0,0.0006747833277642649,0.09111111111111111,4
268,1808,0.12258054122672561,82,129,0.00034951090187607017,0.09696873870617997,0
269,813,0.12246236939238017,42,272,0.00020718521235985472,0.06722098963952045,0
270,1734,0.12211362036941743,101,55,0.00043384717832145765,0.11003972852176792,4
271,3812,0.12193286953712414,97,53,0.0004831159457716167,0.10229205837586176,4
272,5818,0.12175136950303896,77,67,0.0006044957008480286,0.09945557067859226,3
273,5871,0.12153811048534642,75,50,0.0005859860800988121,0.1722444760304949,1
274,3452,0.12145171793192183,74,131,0.0003674616312414217,0.11882656967840735,3
275,6,0.12143790058610203,20,302,0.00031183250978437466,0.03712770692624775,0
276,1688,0.1205249774895235,94,25,0.0005630126167804344,0.125,4
277,6156,0.12036874343639987,85,22,0.0007009658299773497,0.08508384819064431,3
278,2134,0.12033504151368216,81,14,0.0006905183876977218,0.14141640519946214,4
279,2114,0.12023533660319509,82,39,0.0006299229972140328,0.11035290874000551,4
280,5963,0.12020498434102682,90,0,0.0008005311568552275,0.035830212234706615,3
281,1772,0.12003845560205934,71,141,0.00037554986015270105,0.09018704134598174,0
282,2290,0.11997688748534929,75,120,0.00037850725101421087,0.11983492936881647,4
283,4709,0.11974879242159747,75,25,0.0007511228336291308,0.09765229710584902,1
284,3787,0.11971652509744585,45,232,0.00029462564344174104,0.06496938615312156,3
285,4531,0.11953163619236448,68,14,0.0007923535429372404,0.14059674502712477,3
286,2062,0.11951273600018097,68,121,0.0004592604556167494,0.0963943661971831,0
287,2727,0.11919858095514364,93,33,0.0005026266433502655,0.14223041709053916,4
288,2251,0.11893329124829194,87,25,0.0006128891249862004,0.11677128601319814,4
289,4071,0.1184925073937425,74,17,0.0007766383800004973,0.09447567831825959,1
290,2785,0.11845967161058046,95,1,0.0006894374095305491,0.06798245614035088,1
291,3892,0.11828883401710087,94,0,0.0006550278293514919,0.10203614733470602,4
292,1267,0.11823439172334384,90,61,0.0004802023433916767,0.09109794908062235,0
293,4578,0.11819954363286875,97,0,0.0006025995217219912,0.12167096219931271,4
294,2713,0.11796486880726588,54,200,0.00025396674016812265,0.1091497774041904,4
295,1622,0.11790235750596306,85,50,0.0005028131225905317,0.134049147664379,0
296,2174,0.11764402713197462,89,65,0.00045340115708307303,0.10112168592794017,4
297,3027,0.11758275001960171,90,39,0.0005531342842534586,0.09022055259331072,3
298,6305,0.1175498314037422,53,190,0.0003301102567305694,0.08114452912357104,1
299,2851,0.11692114946224706,92,44,0.0005170863790840721,0.08413251961639058,1
300,857,0.11660314720216769,115,0,0.00047928124901166526,0.08215102974828375,0
301,7587,0.11647880205084002,93,0,0.0006520298003961494,0.09280037400654512,1
302,3480,0.1162323348334302,90,18,0.0005736590922312361,0.11976099757533772,4
303,2560,0.11622549611021199,61,180,0.000302251473505672,0.06475268073331027,4
304,4587,0.11619240169011848,97,27,0.0005045819688432686,0.10120766605408243,3
305,6044,0.1160833635864843,73,2,0.0008273239171943463,0.08005769924269744,1
306,1990,0.11607514216999788,88,36,0.000515802998342163,0.1253116388925338,4
307,5760,0.1158591118524329,95,3,0.000590209109896612,0.11250263102504736,1
308,4796,0.11578814776791313,61,4,0.0009426472563404763,0.061808561808561806,3
309,2225,0.115695394660078,109,34,0.00034724665153184275,0.11856889414547606,4
310,310,0.11567618167675317,43,230,0.0002879791021770649,0.048393179430541715,0
311,1133,0.11549993877026576,0,399,5.0487823458630175e-05,0.03797811110691301,3
312,7131,0.11544795074053425,68,24,0.000770232755483352,0.08873475245156662,1
313,5822,0.11520925715672298,64,98,0.0005160538467341618,0.10043735133890892,1
314,5445,0.11493349319309575,58,63,0.0007289244333560134,0.07174362508614748,1
315,2707,0.11467723452606919,70,103,0.00045644273875209166,0.08746385096509517,4
316,1893,0.11425988207929705,93,0,0.000615945938290607,0.09829359513791491,0
317,7908,0.11424025756347017,85,0,0.0007215366450786464,0.0696078431372549,1
318,7225,0.11417021793224472,74,47,0.0005845140873337324,0.11465802537231108,1
319,2510,0.11416794373529376,86,68,0.0003498568066040195,0.15709186708591824,4
320,5872,0.11397142994967098,93,27,0.0005037077081840194,0.10592686002522068,1
321,3404,0.11390551756712065,81,89,0.00038168458236806135,0.10408248571826668,4
322,1542,0.11378141865610474,39,244,0.00025209460168195086,0.0440395027070383,3
323,1700,0.11377236850776812,80,93,0.0003824493724727526,0.09753061499125286,0
324,5596,0.113411705634141,72,30,0.0006526155263281317,0.11554907677356657,1
325,2822,0.11338736320280529,81,43,0.0005698257517675595,0.08334426229508196,3
326,3958,0.11299093193094717,97,15,0.0005134589168961439,0.09597747385358005,3
327,3258,0.11295303192019868,76,95,0.0003439878256600781,0.1395028575363217,4
328,7115,0.11284848594617164,88,0,0.0006734539680456954,0.07288401253918496,1
329,1352,0.11265179259696452,67,121,0.00043795907300998556,0.05069124423963134,0
330,3910,0.1125836028229806,87,33,0.0005028055176424482,0.11533071748878924,3
331,2877,0.11258045821100436,82,0,0.0007295626247051831,0.06654622101776574,0
332,3873,0.11246092658399792,77,4,0.0007189456797854509,0.09512044471896232,3
333,896,0.1123479826617194,83,26,0.0006124756152042595,0.07469408565601632,3
334,3136,0.11233083887105694,83,0,0.0006508945276952393,0.11783720246841023,0
335,4138,0.1120914263981171,60,64,0.0006227552839026308,0.1088439837291694,4
336,3059,0.11171956571428722,83,32,0.00048013429828917034,0.15314076111875286,4
337,3748,0.11156563964549679,77,30,0.0005428188946814417,0.1484982332155477,3
338,2700,0.1115272676994219,58,168,0.00025065313664229393,0.1106433208734999,4
339,3014,0.11143728801617378,97,0,0.0005472092628436339,0.09654209621993128,4
340,5262,0.11127951209322251,76,59,0.0004999326512138794,0.1039154960734432,3
341,2517,0.11110764276824267,83,5,0.0006626451259848336,0.08259278619968635,3
342,4338,0.11101528687673487,88,40,0.00046623949504363577,0.10153846153846154,3
343,2923,0.11100162399433403,81,35,0.0005283691224561313,0.11368752814047726,4
344,4361,0.11099440818441055,88,6,0.000581936012139671,0.10775566231983527,1
345,8290,0.11066552414139631,101,0,0.0005069324864598212,0.09346534653465347,0
346,2369,0.11057641267581583,51,189,0.00028123508587544067,0.06483451330520001,3
347,608,0.11052857112741617,104,3,0.0004886509080135774,0.07802856639040734,4
348,4792,0.11047924811699114,60,62,0.0006280237287669604,0.09427951741900502,3
349,3614,0.11046168264092332,50,205,0.00021679347956982725,0.07489653468404472,3
350,4717,0.11042319076281287,78,62,0.00042222465928693154,0.1334396871140387,3
351,2506,0.11033597442618401,71,46,0.0005690764029008625,0.1106521097668929,4
352,5055,0.10997871635427264,78,0,0.000688570236331199,0.09823509823509824,3
353,4964,0.10994838818958443,88,60,0.00037876469450440805,0.10198638955306236,3
354,3030,0.10978743137453949,74,0,0.000662794652320594,0.14235468345057387,4
355,1201,0.10973264334362495,90,35,0.0004268035604023933,0.11983471074380166,0
356,6330,0.10970624170471087,80,1,0.0006786160016035912,0.0872182772460636,1
357,769,0.10969690972856654,43,146,0.00048291662245446325,0.07421280910268686,0
358,2252,0.1094932237788723,90,22,0.0004408427220410188,0.1430642822619623,4
359,6458,0.1093808832613075,67,28,0.0006826331773454253,0.09063410262155501,1
